plantId,commonName,botanicalName,category,poolScore,poolLevel,slopeScore,slopeLevel,flowerBedScore,hedgeScore,grassScore,messiness,evergreenPresence,beeDraw,petKidCaution,colorType,welGardens,allStar,notes
1134,Cherry 'Montmorency Sour',"Huserik Bros. Nursery, Inc.",TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1135,Cherry,"Huserik Bros. Nursery, Inc.",TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1136,Cherry Multi-Graft Combo #1 Bareroot,Dave Wilson Nursery®,TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1137,Cherry Multi-Graft Combo #3 Bareroot,Dave Wilson Nursery®,TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1138,Cherry 'North Star Sour',Dave Wilson Nursery®,TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1139,Cherry,"Huserik Bros. Nursery, Inc.",TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1140,Cherry 'Rainier',Dave Wilson Nursery®,TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1141,Cherry,"Huserik Bros. Nursery, Inc.",TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1142,Cherry 'Royal Crimson',Dave Wilson Nursery®,TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1143,Cherry,Dave Wilson Nursery®,TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1144,Cherry 'Royal Rainier',Dave Wilson Nursery®,TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1145,Cherry,Dave Wilson Nursery®,TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1146,Cherry,"Huserik Bros. Nursery, Inc.",TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1147,Cherry 'Utah Giant',Dave Wilson Nursery®,TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1148,Cherry,"Huserik Bros. Nursery, Inc.",TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,medium,normal,flower color,,,
1149,Chinese Pistache,Pistacia chinensis,TREES,0,poor,0,poor,20,20,20,high,semi-evergreen/uncertain,low,normal,foliage color,,,
1150,Chinese Pistache,Pistacia chinensis 'Keith Davey',TREES,0,poor,0,poor,20,20,20,high,seasonal/deciduous,low,normal,foliage color,,,
1151,Coast Live Oak Multi-Trunk,Quercus agrifolia,TREES,98,excellent,10,poor,20,20,20,low,evergreen/everpresent,low,normal,mostly green/texture,,,
1152,Coast Live Oak Standard Trunk,Quercus agrifolia,TREES,98,excellent,10,poor,20,20,20,low,evergreen/everpresent,low,normal,mostly green/texture,,,
