Plant_ID,Product_Name,Botanical_Name,Green_Acres_URL,Warnings,Price_Display,Height_ft,Width_ft,Light,Water
123,Pepper,Capsicum annuum,https://idiggreenacres.com/products/pepper-ghost?variant=14050283651124,,$3.25,4-4,1.33-1.33,Full Sun,Moderate
124,Pepper 'Green Bell',Capsicum annuum,https://idiggreenacres.com/products/pepper-green-bell?variant=38605242826921,,$3.25-$17.50,1.5-2,1-1,Full Sun,Moderate
125,Pepper 'Gypsy',Capsicum annuum,https://idiggreenacres.com/products/pepper-gypsy?variant=14050493562932,,$3.25,3-5,1.5-2,Full Sun,Moderate
126,Pepper,Capsicum annuum,https://idiggreenacres.com/products/pepper-habanero?variant=14050520629300,,$3.25-$5.95,1.17-1.5,1.33-1.33,Full Sun,Moderate
127,Pepper,Capsicum annuum,https://idiggreenacres.com/products/pepper-hot-hungarian-wax?variant=31227808841751,,$3.25,1.5-2,1.33-1.33,Full Sun,Moderate
128,Pepper 'Italian Long',Capsicum annuum,https://idiggreenacres.com/products/pepper-italian-long?variant=31257106186263,,$3.25,1.5-2,1-1,Full Sun,Moderate
129,Pepper,Capsicum annuum,https://idiggreenacres.com/products/pepper-jalapeno?variant=14050557493300,,$3.25-$17.50,1.5-2,1.33-1.33,Full Sun,Moderate
130,Pepper 'Jimmy Nardello',Capsicum annuum,https://idiggreenacres.com/products/pepper-jimmy-nardello?variant=31217265901591,,$3.25,1.67-2,1.67-2,Full Sun,Moderate
131,Pepper 'Marconi',Capsicum annuum,https://idiggreenacres.com/products/pepper-marconi?variant=41929867755689,,$3.25,1.5-2,1-1,Full Sun,Moderate
132,Pepper,Capsicum annuum,https://idiggreenacres.com/products/pepper-orange-bell?variant=14050512797748,,$3.25,2-3,2-2,Full Sun,Moderate
133,Pepper 'Padron',Capsicum annuum,https://idiggreenacres.com/products/pepper-padron?variant=14050565783604,,$3.25,1.5-2,1.33-1.33,Full Sun,Moderate
134,Pepper 'Pepperoncini',Capsicum annuum,https://idiggreenacres.com/products/pepper-pepperoncini?variant=38605306462377,,$3.25-$5.95,1.5-2,1.33-1.33,Full Sun,Moderate
135,Pepper,Capsicum annuum,https://idiggreenacres.com/products/pepper-poblano?variant=14054449938484,,$3.25,1.5-2,1.33-1.33,Full Sun,Moderate
136,Pepper 'Purple Bell',Capsicum annuum,https://idiggreenacres.com/products/pepper-purple-bell?variant=31218264801303,,$3.25,1.5-2,1.5-2,Full Sun,Moderate
137,Pepper 'Red Bell',Capsicum annuum,https://idiggreenacres.com/products/pepper-red-bell?variant=14050648522804,,$3.25-$17.50,1.5-2,1-1,Full Sun,Moderate
138,Pepper,Capsicum annuum,https://idiggreenacres.com/products/pepper-scotch-bonnet?variant=14054312968244,,$3.25,2-3,1.5-2,Full Sun,Moderate
139,Pepper,Capsicum annuum,https://idiggreenacres.com/products/pepper-serrano?variant=14054389678132,,$3.25,2-2.5,2-2.5,Full Sun,Moderate
140,Pepper,Capsicum annuum,https://idiggreenacres.com/products/pepper-shishito?variant=14050271854644,,$3.25-$17.50,2-3,2-3,Full Sun,Moderate
141,Pepper 'Snackabelle Red',Capsicum annuum,https://idiggreenacres.com/products/pepper-snackabelle-red?variant=41929821520041,,$3.25-$5.95,1.5-2,1-1.5,Full Sun,Moderate
142,Pepper 'Spanish Sweet',Capsicum annuum,https://idiggreenacres.com/products/pepper-spanish-sweet?variant=31218285772823,,$3.25,1.5-2,1-1,Full Sun,Moderate
143,Pepper,Capsicum annuum,https://idiggreenacres.com/products/pepper-sweet-banana?variant=14054480740404,,$3.25,1.5-2,1-1,Full Sun,Moderate
144,Pepper 'Sweet Cherry',Capsicum annuum,https://idiggreenacres.com/products/pepper-sweet-cherry?variant=31218381848599,,$3.25,3-5,1.5-2,Full Sun,Moderate
145,Pepper 'Sweet Italian',Capsicum annuum,https://idiggreenacres.com/products/pepper-sweet-italian?variant=14054513115188,,$3.25,1.5-2,1-1,Full Sun,Moderate
146,Pepper 'Thai',Capsicum annuum,https://idiggreenacres.com/products/pepper-thai?variant=14054646644788,,$3.25,2-3,2-3,Full Sun,Moderate
147,Pepper,Capsicum annuum,https://idiggreenacres.com/products/pepper-tobasco?variant=14054621052980,,$3.25,2-3,2-3,Full Sun,Moderate
148,Pepper 'Yellow Bell',Capsicum annuum,https://idiggreenacres.com/products/pepper-yellow-bell?variant=38605265305769,,$3.25-$7.50,1.5-2,1-2,Full Sun,Moderate
149,Pole Bean 'Blue Lake',Phaseolus vulgaris,https://idiggreenacres.com/products/pole-bean-blue-lake?variant=39356782444713,,$3.25-$5.95,5-8,1-2,Full Sun,Moderate
150,Pole Bean 'Kentucky Wonder',Phaseolus vulgaris,https://idiggreenacres.com/products/pole-bean-kentucky-wonder?variant=14045311238196,,$3.25,5-8,1-2,Full Sun,Moderate
