Plant_ID,Category,Common_Name,Botanical_Name,Current_Image,Current_Exists,Best_Image,Best_Score,Best_Hits,Would_Apply
879,SHRUBS,Grevillea Noellii,,/GreenAcres-Images/Shrubs/Grevillea_CoastalGem_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Grevillea_CoastalGem_512x.jpg,14,grevillea; contains:grevillea,FALSE
880,SHRUBS,Ground Morning Glory,,/GreenAcres-Images/Shrubs/Convolvulus_Mauritanicus_GroundMorningGlory_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Convolvulus_Mauritanicus_GroundMorningGlory_512x.jpg,18,contains:ground; contains:morning; contains:groundmorning; contains:morningglory,FALSE
881,SHRUBS,Heath Kramers Rote,,/GreenAcres-Images/Shrubs/Erica_Heath_KramersRote_v2_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Erica_Heath_KramersRote_v2_512x.jpg,27,heath; kramersrote; contains:kramers; contains:heathkramers; contains:kramersrote,FALSE
882,SHRUBS,Heath Mediterranean Pink,,/GreenAcres-Images/Shrubs/Erica_Heath_MediterraneanPink_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Erica_Heath_MediterraneanPink_512x.jpg,39,heath; mediterraneanpink; contains:mediterranean; contains:heathmediterranean; contains:mediterraneanpink; compact-prefix,FALSE
883,SHRUBS,Heath Mediterranean White,,/GreenAcres-Images/Shrubs/Erica_Heath_MediterraneanWhite2_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Erica_Heath_MediterraneanWhite2_512x.jpg,31,heath; contains:mediterranean; contains:heathmediterranean; contains:mediterraneanwhite; compact-prefix,FALSE
884,SHRUBS,Heavenly Bamboo,,/GreenAcres-Images/Shrubs/Bamboo_AlphonseKarr_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Bamboo_AlphonseKarr_512x.jpg,11,bamboo; contains:bamboo,FALSE
885,SHRUBS,Heavenly Bamboo Compacta,,/GreenAcres-Images/Shrubs/Escallonia_Compacta_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Escallonia_Compacta_512x.jpg,14,compacta; contains:compacta,FALSE
886,SHRUBS,Heavenly Bamboo Flirt Sunset,,/GreenAcres-Images/Shrubs/Bamboo_AlphonseKarr_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Bamboo_AlphonseKarr_512x.jpg,11,bamboo; contains:bamboo,FALSE
887,SHRUBS,Heavenly Bamboo Lemon Lime,,/GreenAcres-Images/Shrubs/Nandina_LemonLime_01_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Nandina_LemonLime_01_512x.jpg,14,lemonlime; contains:lemonlime,FALSE
888,SHRUBS,Heavenly Bamboo Moon Bay,,/GreenAcres-Images/Shrubs/Bamboo_AlphonseKarr_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Bamboo_AlphonseKarr_512x.jpg,11,bamboo; contains:bamboo,FALSE
889,SHRUBS,Hibiskiss Spin The Bottle,,/GreenAcres-Images/Shrubs/Hibiscus_HibisKISS_Oohlala_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Hibiscus_HibisKISS_Oohlala_512x.jpg,14,hibiskiss; contains:hibiskiss,FALSE
890,SHRUBS,Holly Fern,,/GreenAcres-Images/Shrubs/CyrtomiumFalcatum_HollyFern_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/CyrtomiumFalcatum_HollyFern_512x.jpg,14,hollyfern; contains:hollyfern,FALSE
891,SHRUBS,Holly Sky Pencil,,/GreenAcres-Images/Shrubs/Ilex_Holly_SkyPencil3_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Ilex_Holly_SkyPencil3_512x.jpg,19,holly; contains:pencil; contains:hollysky; contains:skypencil,FALSE
892,SHRUBS,Hollywood Series Tropical Hibiscus,,/GreenAcres-Images/Shrubs/Hibiscus_Hollywood_DiscoDiva_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Hibiscus_Hollywood_DiscoDiva_512x.jpg,38,hollywood; hibiscus; hibiscushollywood; contains:hollywood; contains:hibiscus; contains:hibiscushollywood,FALSE
893,SHRUBS,Horsetail Reed,,/GreenAcres-Images/Shrubs/EquisetumHyemale_HorsetailReed_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/EquisetumHyemale_HorsetailReed_512x.jpg,18,horsetailreed; contains:horsetail; contains:horsetailreed,FALSE
894,SHRUBS,Hosta,,/GreenAcres-Images/Shrubs/Hosta_June_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Hosta_June_512x.jpg,7,hosta,FALSE
895,SHRUBS,Hydrangea,,/GreenAcres-Images/Shrubs/Hydrangea_Assorted_Pink_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Hydrangea_Assorted_Pink_512x.jpg,14,hydrangea; contains:hydrangea,FALSE
896,SHRUBS,Hydrangea Bobo,,/GreenAcres-Images/Shrubs/Hydrangea_Bobo_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Hydrangea_Bobo_512x.jpg,29,hydrangea; bobo; hydrangeabobo; contains:hydrangea; contains:hydrangeabobo,FALSE
897,SHRUBS,Hydrangea Enziandom,,/GreenAcres-Images/Shrubs/Hydrangea_Enziandom_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Hydrangea_Enziandom_512x.jpg,38,hydrangea; enziandom; hydrangeaenziandom; contains:hydrangea; contains:enziandom; contains:hydrangeaenziandom,FALSE
898,SHRUBS,Hydrangea Fort Bragg,,/GreenAcres-Images/Shrubs/Hydrangea_FortBragg_Purple_512x.jpg,TRUE,/GreenAcres-Images/Shrubs/Hydrangea_FortBragg_Purple_512x.jpg,30,hydrangea; fortbragg; contains:hydrangea; contains:hydrangeafort; contains:fortbragg,FALSE
