plantId,productName,botanicalName,usdaNationalMatch,usdaNationalConfidence,usdaCaliforniaMatch,usdaCaliforniaConfidence,permapeopleMatch,permapeopleScientific,permapeopleConfidence,companionRows
245,Flowering Maple,Abutilon hybrid,,,,,,,,0
246,Aeonium,,,,,,,,,0
247,Aeonium 'Mardi Gras',Aeonium 'Mardi Gras',,,,,,,,0
248,Aeonium,Aeonium arboreum 'Zwartkop',,,,,,,,0
249,Agastache,,,,,,,,,0
250,Ajuga 'Burgundy Glow',Ajuga reptans 'Burgundy Glow',,,,,,,,0
251,Ajuga,Ajuga reptans 'Catlin's Giant',,,,,,,,0
252,Aloe 'Bright Star',Aloe 'Bright Star',,,,,,,,0
253,Aloe 'Green Sand',Aloe 'Green Sand',,,,,,,,0
254,Aloe 'Juvenna',,,,,,,,,0
255,Aloe 'Variegata',,,,,,,,,0
256,Aloe Vera,Aloe Vera,,,,,,,,0
257,Angel Wings Senecio,Senecio candicans 'Angel Wings',,,,,,,,0
258,Aptenia 'Red Apple',Aptenia cordifolia 'Red Apple',,,,,,,,0
259,Columbine,Aquilegia Assorted,,,,,,,,0
260,Arctotis,Arctotis Assorted,,,,,,,,0
261,Artemisia 'Powis Castle',Artemisia x 'Powis Castle',,,,,,,,0
262,Artemisia 'Silver Mound',Artemisia schmidtiana 'Silver Mound',,,,,,,,0
263,Artichoke,Cynara scolymus,,,,,,,,0
264,Asiatic Lily,Lilium asiatic,,,,,,,,0
265,Assorted Succulent Pack,Succulent Assorted,,,,,,,,0
266,Astilbe,Astilbe japonica,,,,,,,,0
267,Baby's Tears,Soleirolia soleirolii,,,,,,,,0
268,Bacopa,Sutera cordata,,,,,,,,0
269,Begonia rex,Begonia rex,,,,,,,,0
270,Berkeley Sedge,Carex divulsa (C. tumulicola),,,,,,,,0
271,Bidens,Bidens Assorted,,,,,,,,0
272,Black Mondo Grass,Ophiopogon planiscapus 'Nigrescens',,,,,,,,0
273,Blanket Flower,Gaillardia Assorted,,,,,,,,0
274,Blazing Star,Liatris spicata,,,,,,,,0
275,Bleeding Heart,Dicentra spp.,,,,,,,,0
276,Bloomify&#8482; Lantana,,,,,,,,,0
277,Blue Fescue,Festuca glauca,,,,,,,,0
278,Blue Lithodora,Lithodora diffusa,,,,,,,,0
279,Blue My Mind&#174; Dwarf Morning Glory,Evolvulus 'Blue My Mind',,,,,,,,0
280,Blue Oat Grass,Helictotrichon sempervirens,,,,,,,,0
281,Blue Spruce Stonecrop,Sedum reflexum 'Blue Spruce',,,,,,,,0
282,Blue Star Creeper,Isotoma fluviatilis 'Blue Star',,,,,,,,0
283,Brachyscome,Brachyscome Hybrid,,,,,,,,0
284,Lomandra Mat Rush Breeze&#8482;,Lomandra longifolia 'Breeze',,,,,,,,0
285,Bright Lights&#8482; Horizon&#8482; Sunset African Daisy,Osteospermum fruticosum,,,,,,,,0
286,Ajuga 'Bronze',Ajuga reptans 'Bronze',,,,,,,,0
287,Buchanan's Sage,Salvia buchananii,,,,,,,,0
288,Bush Strawflower,Bracteantha bracteata,,,,,,,,0
289,Cadet&#8482; Verbena,Cadet&#8482; Verbena Series,,,,,,,,0
290,Caladium,,,,,,,,,0
291,Caladium Heart to Heart&#174; Series,Caladium Heart to Heart&#174;,,,,,,,,0
292,Million Bells,,,,,,,,,0
293,California Fuchsia,Epilobium / Zauschneria californica,,,,,,,,0
294,California Gray Rush,Juncus patens,,,,,,,,0
295,California Red Buckwheat,Eriogonum grande rubescens,,,,,,,,0
296,California White Sage,Salvia apiana,,,,,,,,0
297,Calla Lily Hybrids,Zantedeschia aethiopica,,,,,,,,0
298,Campfire Crassula,Crassula capitella 'Campfire',,,,,,,,0
299,Catmint,Nepeta x faassenii,,,,,,,,0
300,Catmint 'Cat's Pajamas',Nepeta hybrid,,,,,,,,0
301,Catmint 'Walker's Low',Nepeta racemosa 'Walker's Low',,,,,,,,0
302,Cheyenne Spirit Coneflower,Echinacea hybrida 'Cheyenne Spirit',,,,,,,,0
303,Chocolate Cosmos,Cosmos atrosanguineus,,,,,,,,0
304,Cigar Plant,Cuphea ignea,,,,,,,,0
305,Citronella Geranium,Pelargonium citrosum,,,,,,,,0
306,Cleveland Sage,Salvia clevelandii,,,,,,,,0
307,Clivia Lily,Clivia Hybrid,,,,,,,,0
308,Coneflower,Echinacea purpurea,,,,,,,,0
309,Coreopsis,Coreopsis Assorted,,,,,,,,0
310,Coreopsis 'Early Sunrise',Coreopsis grandiflora 'Early Sunrise',,,,,,,,0
311,Coreopsis 'Moonbeam',Coreopsis verticillata 'Moonbeam',,,,,,,,0
312,Coreopsis 'Nana',Coreopsis auriculata 'Nana',,,,,,,,0
313,Cotyledon 'White Sprite',Cotyledon 'White Sprite',,,,,,,,0
314,Cranesbill 'Bishops Form',Erodium variabile 'Bishops Form',,,,,,,,0
315,Cranesbill 'Rozanne',Geranium x 'Rozanne',,,,,,,,0
316,Crassula 'Calico Kitten',Crassula marginalis rubra,,,,,,,,0
317,Crassula ovata 'Gollum',Crassula ovata 'Gollum',,,,,,,,0
318,Crassula ovata 'Hobbit',Crassula ovata 'Hobbit',,,,,,,,0
319,Crassula ovata 'Minor',Crassula ovata 'Minor',,,,,,,,0
320,Crassula ovata 'Variegated',Crassula ovata 'Variegated',,,,,,,,0
321,Crassula 'Princess Pine',Crassula 'Princess Pine',,,,,,,,0
322,Creeping Thyme 'Pink',Thymus praecox arcticus 'Pink',,,,,,,,0
323,Creeping Thyme 'Red',Thymus praecox-arcticus 'Red',,,,,,,,0
324,Creeping Wire Vine,Muehlenbeckia axillaris,,,,,,,,0
325,Creeping Zinnia,Sanvitalia procumbens 'Sunbini',,,,,,,,0
326,Crocosmia,,,,,,,,,0
327,False Heather,Cuphea hyssopifolia,,,,,,,,0
328,Curly Rush,Juncus effusus 'Spiralis',,,,,,,,0
329,Dahlia,,,,,,,,,0
330,Dahlia 'Mystic' Series,,,,,,,,,0
331,Dahlia 'XXL Series',,,,,,,,,0
332,Color Bowl,Color Bowl Assorted,,,,,,,,0
333,Dead Nettle,Lamium maculatum,,,,,,,,0
334,Delphinium,Delphinium Assorted,,,,,,,,0
335,Diamond Frost&#174; Euphorbia,Euphorbia hybrid,,,,,,,,0
336,Dianthus,Dianthus Assorted,,,,,,,,0
337,Diascia,,,,,,,,,0
338,Dichondra,Dichondra argentea 'Silver Falls',,,,,,,,0
339,Digiplexis&#174; 'Illumination Series',,,,,,,,,0
340,Dinnerplate Dahlia,,,,,,,,,0
341,Dusty Miller 'Silver Dust',Senecio cineraria,,,,,,,,0
342,Dwarf Mondo Grass,Ophiopogon japonicus 'Nana',,,,,,,,0
343,Silver Carpet,Dymondia margaretae,,,,,,,,0
344,Echeveria 'Afterglow',,,,,,,,,0
345,Echeveria,,,,,,,,,0
346,Echeveria 'Black Prince',Echeveria 'Black Prince',,,,,,,,0
347,Echeveria,Echeveria 'Blue Bird',,,,,,,,0
348,Echeveria 'Blue Prince',Echeveria 'Blue Prince',,,,,,,,0
349,Echeveria,,,,,,,,,0
350,Echeveria 'Frosty',,,,,,,,,0
351,Echeveria 'Multicaulis',,,,,,,,,0
352,Echeveria nodulosa,Echeveria nodulosa,,,,,,,,0
353,Echeveria,,,,,,,,,0
354,Echeveria,,,,,,,,,0
355,Echeveria,Echeveria 'Perle Von Nurnberg',,,,,,,,0
356,Echeveria 'Pulidonis',,,,,,,,,0
357,Echeveria,Echeveria agavoides 'Red Tip',,,,,,,,0
358,Echeveria 'Topsy Turvy',Echeveria 'Topsy Turvy',,,,,,,,0
359,Echibeckia&#8482; Summerina&#174;,,,,,,,,,0
360,Elephant Bush,Portulacaria afra,,,,,,,,0
361,Thyme 'Elfin',Thymus serpyllum,,,,,,,,0
